Timestamp,Expected_Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude
2025-04-16 13:41:21.081383,0.470000,0.014060,-0.034671,0.206587,0.209948,0.012342,-0.065841,0.155651,0.169454
2025-04-16 13:41:21.085573,0.475000,0.006511,-0.340624,0.737087,0.812013,0.004832,-0.370238,0.683451,0.777306
2025-04-16 13:41:21.097266,0.480000,-0.078454,0.216794,-0.106095,0.253792,-0.079701,0.184344,-0.155440,0.253962
2025-04-16 13:41:21.113350,0.485000,-0.214100,-0.155373,-0.237927,0.355793,-0.214656,-0.185929,-0.286603,0.403470
2025-04-16 13:41:21.116286,0.490000,-0.216572,-0.421422,0.057776,0.477323,-0.217116,-0.450624,0.007596,0.500259
2025-04-16 13:41:21.118451,0.495000,-0.211548,-0.535515,0.429519,0.718342,-0.212118,-0.564137,0.377448,0.711134
2025-04-16 13:41:21.121056,0.500000,-0.197601,-0.550451,0.739509,0.942824,-0.198242,-0.578997,0.685861,0.919208
2025-04-16 13:41:21.129228,0.505000,-0.103359,0.074719,-0.146864,0.194512,-0.104479,0.042991,-0.196002,0.226232
2025-04-16 13:41:21.143670,0.510000,0.134664,-0.046561,0.400251,0.424857,0.132333,-0.077671,0.348329,0.380629
2025-04-16 13:41:21.145725,0.515000,0.160830,-0.224614,0.049910,0.280729,0.158365,-0.254818,-0.000230,0.300020
2025-04-16 13:41:21.159411,0.520000,0.208861,0.148100,0.707319,0.752234,0.206152,0.115999,0.653834,0.695308
2025-04-16 13:41:21.175754,0.525000,0.058605,-0.048717,0.781459,0.785167,0.056661,-0.079816,0.727598,0.734152
2025-04-16 13:41:21.178085,0.530000,0.037689,-0.277663,0.632677,0.691952,0.035852,-0.307597,0.579572,0.657119
2025-04-16 13:41:21.181836,0.535000,0.010925,-0.493380,0.025710,0.494170,0.009224,-0.522216,-0.024306,0.522863
2025-04-16 13:41:21.185489,0.540000,-0.005490,-0.446386,-0.205577,0.491480,-0.007108,-0.475462,-0.254416,0.539298
